web-scraper-order,web-scraper-start-url,link_toko,link_toko-href,nama_toko,Jml_produk,chat,follower,rating_toko,bergabung,promo,alamat_toko,link_produk,link_produk-href,nama_produk,promo_produk,terjual,gratis_ongkir,favorit
"1669094576-1,""https://shopee.co.id/mall/brands/11042849"",""69Slam"",""https://shopee.co.id/69slam"","""",""439"",""43% (hitungan jam)"",""7,4RB"",""4.8 (1,7RB penilaian)"",""24 bulan lalu"",""null"",""KAB. BADUNG"",""40%off69slam Sandal pria ARSIKI-ATDiskon 20%Murah LebayRp285.000Rp171.000110 TerjualKAB. BADUNG"",""https://shopee.co.id/69slam-Sandal-pria-ARSIKI-AT-i.340815435.12428025981?sp_atk=c2a01e21-b608-4019-828a-69e21e13bad8&xptdk=c2a01e21-b608-4019-828a-69e21e13bad8"",""null"",""null"",""null"",""null"",""null"""
"1669094601-2,""https://shopee.co.id/mall/brands/11042849"",""4CM"",""https://shopee.co.id/4cmstore"","""",""508"",""36% (hitungan jam)"",""60,8RB"",""4.7 (28,5RB penilaian)"",""5 tahun lalu"",""null"",""KOTA DEPOK"",""30%off4CM Boxer black fireMurah LebayRp99.000Rp69.30010RB+ TerjualKOTA DEPOK"",""https://shopee.co.id/4CM-Boxer-black-fire-i.32984432.7155464356?sp_atk=faf43af1-0d76-4b8e-9c93-0935de83b7ff&xptdk=faf43af1-0d76-4b8e-9c93-0935de83b7ff"",""null"",""null"",""null"",""null"",""null"""
"1669094625-3,""https://shopee.co.id/mall/brands/11042849"",""4.20"",""https://shopee.co.id/4.20official"","""",""121"",""80% (hitungan jam)"",""50,9RB"",""4.9 (7,2RB penilaian)"",""4 tahun lalu"",""null"",""KOTA BANDUNG"",""40%off4.20 T-Shirt Philosophy Mandala NavyPilih 2, bayar Rp170.000Rp170.000Rp102.000327 TerjualKOTA BANDUNG"",""https://shopee.co.id/4.20-T-Shirt-Philosophy-Mandala-Navy-i.87828273.10739275158?sp_atk=5fcb4170-63a8-44d7-94c2-bc90174c661f&xptdk=5fcb4170-63a8-44d7-94c2-bc90174c661f"",""null"",""null"",""null"",""null"",""null"""
"1669094649-4,""https://shopee.co.id/mall/brands/11042849"",""3Second"",""https://shopee.co.id/3secondshop"","""",""9,2RB"",""84% (hitungan jam)"",""451,7RB"",""4.9 (116,1RB penilaian)"",""6 tahun lalu"",""null"",""KOTA BANDUNG"",""40%off3Second Men Jacket 021021Rp449.500Rp269.70049 TerjualKOTA BANDUNG"",""https://shopee.co.id/3Second-Men-Jacket-021021-i.18358818.11761195939?sp_atk=5e249207-4541-48af-95d3-be1949ff05c7&xptdk=5e249207-4541-48af-95d3-be1949ff05c7"",""null"",""null"",""null"",""null"",""null"""
"1669094672-5,""https://shopee.co.id/mall/brands/11042849"",""308ABSLTUNSCRD"",""https://shopee.co.id/308absltunscrd"","""",""3,2RB"",""88% (hitungan jam)"",""64,7RB"",""4.8 (21,5RB penilaian)"",""4 tahun lalu"",""null"",""KAB. SLEMAN"",""308 ABSLTUNSCRD - Bracelete Rubber Gitd Think Positive - BlackDiskon 50%Rp25.000182 TerjualKAB. SLEMAN"",""https://shopee.co.id/308-ABSLTUNSCRD-Bracelete-Rubber-Gitd-Think-Positive-Black-i.93881215.3200350542?sp_atk=c0584506-6f79-4909-a25b-c72857050b12&xptdk=c0584506-6f79-4909-a25b-c72857050b12"",""null"",""null"",""null"",""null"",""null"""
"1669094696-6,""https://shopee.co.id/mall/brands/11042849"",""3'NThree"",""https://shopee.co.id/3nthreeofficial"","""",""241"",""85% (hitungan jam)"",""7,1RB"",""4.8 (378 penilaian)"",""3 tahun lalu"",""null"",""KOTA TANGERANG"",""40%off3Nthree kemeja koko Pria Muslim originalDiskon Rp2,5RBMurah LebayRp249.000Rp149.40032 TerjualKOTA TANGERANG"",""https://shopee.co.id/3Nthree-kemeja-koko-Pria-Muslim-original-i.184001696.15666321843?sp_atk=e646edc8-d6b6-4049-90ae-f39509f28649&xptdk=e646edc8-d6b6-4049-90ae-f39509f28649"",""null"",""null"",""null"",""null"",""null"""
"1669094719-7,""https://shopee.co.id/mall/brands/11042849"",""2nd Red"",""https://shopee.co.id/2ndred"","""",""311"",""85% (hitungan jam)"",""8,9RB"",""4.8 (13,1RB penilaian)"",""5 tahun lalu"",""null"",""KAB. BANDUNG BARAT"",""66%off2nd Red Celana Jeans Legend Slim Fit Premium Bahan Melar Warna Biru Muda 133266Diskon 10%Rp399.900Rp135.0004,4RB TerjualKAB. BANDUNG BARAT"",""https://shopee.co.id/2nd-Red-Celana-Jeans-Legend-Slim-Fit-Premium-Bahan-Melar-Warna-Biru-Muda-133266-i.23917033.1889960272?sp_atk=3864d197-1789-4811-b13a-bee9e35945cf&xptdk=3864d197-1789-4811-b13a-bee9e35945cf"",""null"",""null"",""null"",""null"",""null"""
"1669094744-8,""https://shopee.co.id/mall/brands/11042849"",""2FAB4YOU"",""https://shopee.co.id/2fab4you"","""",""149"",""40% (hitungan menit)"",""1,9RB"",""4.9 (426 penilaian)"",""4 tahun lalu"",""null"",""KOTA JAKARTA BARAT"",""2FAB4YOU T-shirt OG FLAMINGO White/Putih - Pria/WanitaRp199.00013 TerjualKOTA JAKARTA BARAT"",""https://shopee.co.id/2FAB4YOU-T-shirt-OG-FLAMINGO-White-Putih-Pria-Wanita-i.73775993.2881168942?sp_atk=9c077f6c-6296-48c4-9d8e-549e70088c98&xptdk=9c077f6c-6296-48c4-9d8e-549e70088c98"",""null"",""null"",""null"",""null"",""null"""
"1669094768-9,""https://shopee.co.id/mall/brands/11042849"",""17Seven"",""https://shopee.co.id/seventeenseven"","""",""1,8RB"",""78% (hitungan jam)"",""80,6RB"",""4.7 (48,6RB penilaian)"",""4 tahun lalu"",""null"",""KOTA JAKARTA TIMUR"",""78%off17Seven Original Celana Panjang Chino 015-HITAM-AKMurah LebayRp90.000 - Rp99.00010RB+ TerjualKOTA JAKARTA TIMUR"",""https://shopee.co.id/17Seven-Original-Celana-Panjang-Chino-015-HITAM-AK-i.91485121.7350661850?sp_atk=1c6bc5df-b613-4b1c-9a15-f072cb879cdc&xptdk=1c6bc5df-b613-4b1c-9a15-f072cb879cdc"",""null"",""null"",""null"",""null"",""null"""
"1669094791-10,""https://shopee.co.id/mall/brands/11042849"",""07:35"",""https://shopee.co.id/0735_apparel"","""",""52"",""74% (hitungan jam)"",""9,3RB"",""4.9 (1,4RB penilaian)"",""27 bulan lalu"",""null"",""KOTA JAKARTA UTARA"",""07:35 - Random SaleRp73.500243 TerjualKOTA JAKARTA UTARA"",""https://shopee.co.id/07-35-Random-Sale-i.298491252.9975420944?sp_atk=0d2f8264-9609-4da6-8d81-7f3ab9fccaa3&xptdk=0d2f8264-9609-4da6-8d81-7f3ab9fccaa3"",""null"",""null"",""null"",""null"",""null"""
